,Student ID,First Faculty ID,Second Faculty ID,Third Faculty ID,Fourth Faculty ID
0,0,10,14,2,11
1,-----,-----,-----,-----,-----
2,4,13,14,4,5
3,350,8,21,2,7
4,351,1,22,6,3
5,-----,-----,-----,-----,-----
6,5,13,3,22,19
7,277,21,16,5,6
8,-----,-----,-----,-----,-----
9,6,13,3,2,21
10,77,18,1,4,16
11,252,8,11,15,0
12,-----,-----,-----,-----,-----
13,7,13,2,11,12
14,22,6,23,17,7
15,-----,-----,-----,-----,-----
16,10,20,16,0,4
17,238,3,8,6,10
18,239,12,14,13,1
19,-----,-----,-----,-----,-----
20,14,23,2,0,5
21,60,22,3,11,1
22,61,13,4,16,18
23,-----,-----,-----,-----,-----
24,18,18,8,20,5
25,19,19,14,2,10
26,23,4,15,7,22
27,-----,-----,-----,-----,-----
28,20,13,11,0,17
29,21,21,15,3,16
30,-----,-----,-----,-----,-----
31,24,16,11,8,22
32,25,23,12,10,6
33,-----,-----,-----,-----,-----
34,26,3,13,5,1
35,27,17,20,2,8
36,-----,-----,-----,-----,-----
37,28,21,23,4,19
38,8,3,18,9,15
39,9,1,13,14,17
40,-----,-----,-----,-----,-----
41,29,13,4,18,10
42,-----,-----,-----,-----,-----
43,30,13,22,16,9
44,31,3,4,12,20
45,-----,-----,-----,-----,-----
46,32,0,16,11,8
47,33,23,10,3,12
48,-----,-----,-----,-----,-----
49,34,17,15,20,7
50,35,11,6,22,21
51,-----,-----,-----,-----,-----
52,36,22,4,15,23
53,37,21,14,16,9
54,-----,-----,-----,-----,-----
55,39,7,15,4,0
56,58,10,14,17,3
57,182,21,9,12,16
58,-----,-----,-----,-----,-----
59,40,20,23,2,3
60,41,18,22,10,13
61,-----,-----,-----,-----,-----
62,42,8,12,9,4
63,17,3,7,22,0
64,313,20,14,1,13
65,-----,-----,-----,-----,-----
66,44,4,16,10,13
67,45,19,21,2,5
68,-----,-----,-----,-----,-----
69,46,6,8,14,16
70,47,23,13,18,10
71,-----,-----,-----,-----,-----
72,48,17,11,21,18
73,49,8,20,5,7
74,-----,-----,-----,-----,-----
75,52,14,22,10,17
76,53,23,5,1,16
77,-----,-----,-----,-----,-----
78,55,8,16,1,15
79,-----,-----,-----,-----,-----
80,56,9,16,4,18
81,13,21,22,17,5
82,-----,-----,-----,-----,-----
83,57,10,4,6,8
84,50,7,13,2,15
85,-----,-----,-----,-----,-----
86,62,16,11,1,2
87,63,6,13,5,17
88,88,18,19,7,23
89,-----,-----,-----,-----,-----
90,64,9,16,18,14
91,65,10,22,7,6
92,214,12,11,21,17
93,185,1,13,23,20
94,-----,-----,-----,-----,-----
95,70,6,11,16,7
96,200,17,8,20,5
97,201,21,22,4,23
98,-----,-----,-----,-----,-----
99,71,13,11,0,21
100,272,4,18,9,15
101,337,19,22,12,14
102,-----,-----,-----,-----,-----
103,79,21,19,8,2
104,-----,-----,-----,-----,-----
105,80,18,8,7,23
106,81,10,1,21,19
107,-----,-----,-----,-----,-----
108,82,19,12,3,8
109,144,9,1,5,7
110,-----,-----,-----,-----,-----
111,86,7,8,23,22
112,352,13,17,14,19
113,-----,-----,-----,-----,-----
114,89,17,13,6,23
115,148,15,11,0,12
116,-----,-----,-----,-----,-----
117,90,6,11,19,9
118,91,0,16,3,7
119,-----,-----,-----,-----,-----
120,92,22,7,15,0
121,93,16,6,11,20
122,-----,-----,-----,-----,-----
123,94,8,4,1,7
124,95,23,14,19,15
125,314,2,11,3,17
126,-----,-----,-----,-----,-----
127,97,20,15,14,21
128,260,17,6,3,23
129,261,1,11,10,2
130,-----,-----,-----,-----,-----
131,98,1,20,18,0
132,302,11,22,5,19
133,303,15,6,7,4
134,-----,-----,-----,-----,-----
135,99,19,21,0,9
136,66,22,11,1,10
137,285,5,12,16,14
138,-----,-----,-----,-----,-----
139,104,6,12,16,14
140,74,4,8,2,1
141,75,22,11,9,15
142,-----,-----,-----,-----,-----
143,105,3,23,16,19
144,68,6,18,8,14
145,-----,-----,-----,-----,-----
146,106,16,2,17,7
147,3,11,4,3,14
148,-----,-----,-----,-----,-----
149,108,3,21,14,15
150,109,17,22,11,9
151,-----,-----,-----,-----,-----
152,110,1,3,22,8
153,274,20,21,0,5
154,-----,-----,-----,-----,-----
155,111,7,8,18,21
156,-----,-----,-----,-----,-----
157,112,3,6,17,9
158,113,10,18,22,23
159,-----,-----,-----,-----,-----
160,114,5,10,2,23
161,115,19,15,16,3
162,307,7,20,12,4
163,-----,-----,-----,-----,-----
164,116,3,0,7,4
165,315,21,13,5,17
166,-----,-----,-----,-----,-----
167,117,0,6,4,5
168,203,2,14,15,3
169,264,10,23,17,18
170,-----,-----,-----,-----,-----
171,118,10,4,6,15
172,119,0,5,21,19
173,-----,-----,-----,-----,-----
174,120,22,9,11,20
175,250,6,13,19,17
176,377,14,12,18,5
177,-----,-----,-----,-----,-----
178,122,17,5,14,10
